Species	Order	Family	Genus	AdultBodyMassGrams	SexualMaturityAgeDays	MaxLongevity	LitterSize	LittersPerYear	BasalMetRate	Temp_Mean_01degC
Ochotona_curzoniae	Lagomorpha	Ochotonidae	Ochotona	159.47	65	NA	4.39	3.5	NA	-4.758
Ochotona_princeps	Lagomorpha	Ochotonidae	Ochotona	157.63	374.39	84	2.88	2	166.77	4.358
Octodon_degus	Rodentia	Octodontidae	Octodon	203.27	187.19	168	5.31	2	177.25	6.347
Odobenus_rosmarus_divergens	Carnivora	Odobenidae	Odobenus	1042996.25	2315.02	480	1.22	0.5	NA	NA
Odocoileus_virginianus_texanus	Artiodactyla	Cervidae	Odocoileus	75901.25	365	276	1.57	1	NA	12.764
Onychomys_torridus	Rodentia	Cricetidae	Onychomys	21.68	56.02	55.2	3.3	2.5	29.6	14.935
Orcinus_orca	Artiodactyla	Delphinidae	Orcinus	5628758.66	4989.76	1200	1	0.2	NA	NA
Ornithorhynchus_anatinus	Monotremata	Ornithorhynchidae	Ornithorhynchus	1484.25	742.46	271.2	2	1	477.34	15.653
Orycteropus_afer_afer	Tubulidentata	Orycteropodidae	Orycteropus	56175.2	755.15	357.6	1.1	1	6144	23.477
Oryctolagus_cuniculus	Lagomorpha	Leporidae	Oryctolagus	1590.57	185.61	216	5.24	4.5	NA	10.387
Oryx_dammah	Artiodactyla	Bovidae	Oryx	199798.95	638	330	1	NA	NA	28.102
Otolemur_garnettii	Primates	Galagidae	Otolemur	811.17	592.15	240	1.02	1.4	NA	23.597
Ovis_aries	Artiodactyla	Bovidae	Ovis	39097.89	831.62	273.6	1.19	1	NA	NA
Pan_paniscus	Primates	Hominidae	Pan	35119.95	5465.72	660	1.01	0.2	NA	25.033
Pan_troglodytes	Primates	Hominidae	Pan	45000	3897.96	816	1.05	0.22	9000	24.168
Panthera_leo	Carnivora	Felidae	Panthera	158623.93	987.77	360	2.75	2	27420.6	23.438
Panthera_pardus	Carnivora	Felidae	Panthera	52399.99	810.68	327.6	2.14	1	NA	20.763
Panthera_tigris	Carnivora	Felidae	Panthera	161914.66	1522.5	315.6	2.6	1	28497	21.151
Panthera_uncia	Carnivora	Felidae	Panthera	32500	841.82	254.4	2.12	1	NA	-4.681
Papio_anubis	Primates	Cercopithecidae	Papio	17728.56	2920	302.4	1.01	1	NA	24.267
Perognathus_longimembris_pacificus	Rodentia	Heteromyidae	Perognathus	8.07	125.41	99.6	4.45	1	12.58	11.484
Peromyscus_californicus_insignis	Rodentia	Cricetidae	Peromyscus	42.68	50	66	1.94	4.37	49.71	12.513
Peromyscus_leucopus	Rodentia	Cricetidae	Peromyscus	18.07	45.15	94.8	4.27	4.5	33.91	13.026
Peromyscus_maniculatus_bairdii	Rodentia	Cricetidae	Peromyscus	19.98	48.05	99.6	4.76	2.6	36.46	6.172
Phascolarctos_cinereus	Diprotodontia	Phascolarctidae	Phascolarctos	6528.74	834.72	265.2	1.01	1	1034.1	17.864
Phoca_vitulina	Carnivora	Phocidae	Phoca	87316.66	1526.85	571.2	1	1	32350.8	NA
Phocoena_sinus	Artiodactyla	Phocoenidae	Phocoena	43121.43	1642.5	NA	0.97	0.5	NA	NA
Phodopus_roborovskii	Rodentia	Cricetidae	Phodopus	21	21.35	57.6	6.28	3.5	NA	0.943
Phyllostomus_discolor	Chiroptera	Phyllostomidae	Phyllostomus	36.7	NA	108	0.99	NA	34.5	24.255
Phyllostomus_hastatus	Chiroptera	Phyllostomidae	Phyllostomus	91.44	730	216	0.99	1	70.72	23.887
Physeter_catodon	Artiodactyla	Physeteridae	Physeter	14540959.82	3935.04	924	0.99	0.25	NA	NA
Piliocolobus_tephrosceles	Primates	Cercopithecidae	Piliocolobus	NA	NA	NA	NA	NA	NA	20.58
Pipistrellus_kuhlii	Chiroptera	Vespertilionidae	Pipistrellus	6.07	NA	96	1.21	1	NA	14.668
Pongo_abelii	Primates	Hominidae	Pongo	39696.12	2555	NA	1	0.2	NA	22.353
Prionailurus_bengalensis	Carnivora	Felidae	Prionailurus	2780.97	855.31	204	2.5	1	NA	16.91
Propithecus_coquereli	Primates	Indriidae	Propithecus	4189.27	1460	NA	1	1	NA	25.142
Pteropus_alecto	Chiroptera	Pteropodidae	Pteropus	610.13	730	243.6	1	1	NA	24.999
Pteropus_giganteus	Chiroptera	Pteropodidae	Pteropus	824.85	395.29	528	0.99	1	377	24.334
Pteropus_vampyrus	Chiroptera	Pteropodidae	Pteropus	1027.54	730	250.8	0.99	1	NA	24.998
Puma_concolor	Carnivora	Felidae	Puma	53954.05	1034.61	324	2.76	0.75	13300.8	18.193
Puma_yagouaroundi	Carnivora	Felidae	Herpailurus	6875	1052.28	223.2	2.5	2	NA	23.353
