sort.order,taxA,taxB,taxA.prop.genera,taxB.prop.genera,spp.A,spp.B,Height.A,Height.B,nuclear.all.A,nuclear.all.B,cp.dN.hyphy.A,cp.dS.hyphy.A,cp.dN.hyphy.B,cp.dS.hyphy.B,LAT.A,LAT.B,TEMP.A,TEMP.B,UV.A,UV.B
42,Cyperaceae,Juncaceae,0.3823529,0.6666667,5000,400,6.371719215,5.90419432,0.025605,0.029507,0.040599,0.565369,0.043076,0.376485,32.90178831,41.96061799,136.1039292,85.11893803,3530.49501,2784.841023
43,Dipterocarpaceae,Sarcolaenaceae,0.375,0.1111111,580,40,10.62640212,9.050638833,0.011218,0.00934,0.025683,0.120615,0.024025,0.116989,11.0458245,19.40223539,243.0561896,232.6693468,4954.931563,4769.545558
44,Apiaceae,Araliaceae,0.2004662,0.4222222,2850,700,6.597908095,8.12280818,0.018821,0.010082,0.016981,0.226117,0.018778,0.08959,32.47198921,23.93095801,141.4003218,183.9099898,3519.399158,4056.468447
45,Fabaceae,Surianaceae,0.3441654,0.2,12000,5,8.656997329,8.29404964,0.012772,0.041221,0.023773,0.238921,0.007663,0.238954,31.82766665,11.25974007,143.0815438,247.9136847,3629.026795,4985.559335
46,Lauraceae,Monimiaceae,0.4489796,0.1666667,2236.07,150,9.733316868,8.996277892,0.046173,0.019088,0.011195,0.096016,0.014866,0.077391,17.53376973,10.10741541,221.0186748,237.6366308,4559.519528,4865.830882
48,Proteaceae,Nelumbonaceae,0.8428571,1,1050,2,8.867110796,7.365900645,0.018864,0.035172,0.008486,0.289173,0.010677,0.118476,16.37486366,25.57836527,222.4659846,182.2972581,4692.439995,3865.959263
49,Thymelaeaceae,Malvaceae,0.1694915,0.2950192,500,1000,7.996863627,8.989316864,0.049425,0.017514,0.025777,0.342656,0.0226,0.226284,27.23706295,25.25495563,166.9721728,188.1737513,3863.697925,4129.937975
51,Gomortegaceae,Atherospermataceae,1,0.6666667,1,12,9.798127037,10.26251896,0.006974,0.004361,0.009676,0.0343,0.015285,0.057574,32.65760692,24.50710134,137.4330783,186.5115643,4474.263809,4334.665973
52,Casuarinaceae,Betulaceae,0.75,0.8333333,65,95,9.442316791,9.566067256,0.010859,0.015628,0.014484,0.183174,0.005189,0.052994,14.73270305,46.21708382,237.7369119,57.53808117,4783.383969,2363.568687
53,Crossosomataceae,Stachyuraceae,0.6666667,1,8.94,10,7.278006172,8.29404964,0.015097,0.00942,0.006235,0.126391,0.006837,0.033518,25.60423763,29.89516163,198.8143637,157.1738632,4478.57249,3448.918409
54,Calyceraceae,Asteraceae,0.6666667,0.1605839,40,13000,4.889443388,6.633629933,0.009043,0.016583,0.012459,0.093823,0.027348,0.155179,29.70466366,32.03011224,159.5476803,142.1910154,4002.937595,3615.201552
55,Verbenaceae,Bignoniaceae,0.3428571,0.1636364,3000,650,7.514398693,9.703025841,0.010795,0.033409,0.033384,0.207471,0.009904,0.078651,24.27859531,NA,182.9079096,NA,4070.701459,NA
56,Hypoxidaceae,Asteliaceae,0.1111111,0.5,150,55,5.187233396,6.990723942,0.072266,0.026965,0.016888,0.226684,0.010701,0.100835,17.40819743,31.7795966,219.3672801,145.735363,4640.517961,3228.631514
